PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Brandon Ingram,TOR,TOR vs. ORL,12/29/2025,W,34,17,7,22,31.8,0,6,0.0,3,4,75.0,2,7,9,4,0,1,0,2,8,36.8
Mo Bamba,TOR,TOR vs. ORL,12/29/2025,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,2,-9,3.0
Julian Strawther,DEN,DEN @ MIA,12/29/2025,L,14,4,0,3,0.0,0,1,0.0,4,4,100,0,1,1,1,0,0,1,0,-12,5.7
Spencer Jones,DEN,DEN @ MIA,12/29/2025,L,33,16,5,6,83.3,5,5,100,1,2,50.0,0,3,3,1,3,1,0,3,-6,33.1
Tim Hardaway Jr.,DEN,DEN @ MIA,12/29/2025,L,28,16,6,13,46.2,2,6,33.3,2,3,66.7,1,2,3,2,0,0,0,1,-18,22.6
Nikola Jović,MIA,MIA vs. DEN,12/29/2025,W,26,22,7,12,58.3,5,8,62.5,3,3,100,0,4,4,5,0,0,0,3,24,34.3
Ochai Agbaji,TOR,TOR vs. ORL,12/29/2025,W,20,10,4,8,50.0,0,1,0.0,2,2,100,3,1,4,3,0,0,0,0,7,19.3
Jamal Murray,DEN,DEN @ MIA,12/29/2025,L,35,20,9,21,42.9,2,6,33.3,0,0,-,1,5,6,11,1,0,2,0,-13,44.7
Norman Powell,MIA,MIA vs. DEN,12/29/2025,W,28,25,9,16,56.3,3,8,37.5,4,4,100,1,0,1,4,1,0,3,1,7,32.2
Zeke Nnaji,DEN,DEN @ MIA,12/29/2025,L,9,4,1,1,100,0,0,-,2,2,100,0,0,0,0,0,0,0,4,-16,4.0
Andrew Wiggins,MIA,MIA vs. DEN,12/29/2025,W,31,19,6,10,60.0,4,7,57.1,3,4,75.0,1,4,5,6,3,3,0,2,28,52.0
Bam Adebayo,MIA,MIA vs. DEN,12/29/2025,W,21,13,5,10,50.0,1,2,50.0,2,2,100,3,7,10,4,1,0,2,3,3,32.0
Dru Smith,MIA,MIA vs. DEN,12/29/2025,W,21,11,4,6,66.7,2,4,50.0,1,1,100,0,4,4,1,2,0,1,3,24,22.3
Noah Penda,ORL,ORL @ TOR,12/29/2025,L,5,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,0,0,1,0,5,1.2
Trayce Jackson-Davis,GSW,GSW @ BKN,12/29/2025,W,22,11,5,6,83.3,0,0,-,1,2,50.0,0,6,6,1,1,2,1,1,10,27.7
Danny Wolf,BKN,BKN vs. GSW,12/29/2025,L,20,0,0,2,0.0,0,0,-,0,0,-,0,1,1,2,0,0,0,4,-15,4.2
Pat Spencer,GSW,GSW @ BKN,12/29/2025,W,10,4,2,4,50.0,0,0,-,0,0,-,0,1,1,4,1,0,0,2,4,14.2
