PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Mike Conley,MIN,MIN @ SAC,11/24/2025,L,25,3,1,4,25.0,1,4,25.0,0,0,-,0,2,2,5,0,0,0,3,-3,12.9
DeMar DeRozan,SAC,SAC vs. MIN,11/24/2025,W,32,33,9,16,56.3,0,0,-,15,15,100,0,0,0,4,3,0,2,2,0,46.0
Julius Randle,MIN,MIN @ SAC,11/24/2025,L,39,17,5,13,38.5,1,4,25.0,6,6,100,2,8,10,5,0,0,5,4,-12,31.5
Anthony Edwards,MIN,MIN @ SAC,11/24/2025,L,40,43,16,29,55.2,5,11,45.5,6,8,75.0,1,6,7,4,3,1,3,1,-12,66.4
Collin Gillespie,PHX,PHX vs. HOU,11/24/2025,L,29,16,6,12,50.0,3,6,50.0,1,1,100,2,1,3,2,3,0,3,0,-14,28.6
Devin Booker,PHX,PHX vs. HOU,11/24/2025,L,38,18,5,13,38.5,2,6,33.3,6,8,75.0,1,2,3,5,1,1,5,3,-11,30.1
Jaime Jaquez Jr.,MIA,MIA @ PHI,11/23/2025,W,33,22,10,12,83.3,0,0,-,2,3,66.7,1,1,2,7,0,0,4,4,-4,30.9
Dominick Barlow,PHI,PHI vs. MIA,11/23/2025,L,20,9,4,8,50.0,1,4,25.0,0,0,-,1,2,3,0,0,2,0,2,-13,18.6
Pelle Larsson,MIA,MIA @ PHI,11/23/2025,W,32,6,2,13,15.4,0,6,0.0,2,5,40.0,1,6,7,8,1,0,2,3,9,27.4
Jared McCain,PHI,PHI vs. MIA,11/23/2025,L,26,15,5,11,45.5,3,4,75.0,2,2,100,0,1,1,2,1,0,1,3,1,21.2
Norman Powell,MIA,MIA @ PHI,11/23/2025,W,29,32,11,18,61.1,4,7,57.1,6,9,66.7,1,3,4,1,2,0,1,2,12,43.3
Davion Mitchell,MIA,MIA @ PHI,11/23/2025,W,31,8,2,6,33.3,1,2,50.0,3,4,75.0,1,7,8,12,1,0,1,2,11,37.6
Bam Adebayo,MIA,MIA @ PHI,11/23/2025,W,33,18,7,14,50.0,1,4,25.0,3,4,75.0,3,10,13,1,1,0,2,1,4,36.1
Justin Edwards,PHI,PHI vs. MIA,11/23/2025,L,32,7,3,8,37.5,1,3,33.3,0,0,-,2,2,4,3,2,2,3,2,-21,25.3
Paul George,PHI,PHI vs. MIA,11/23/2025,L,20,10,3,10,30.0,0,5,0.0,4,5,80.0,1,1,2,5,1,1,2,2,3,23.9
Jabari Walker,PHI,PHI vs. MIA,11/23/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,-2,1.5
Tyrese Maxey,PHI,PHI vs. MIA,11/23/2025,L,36,27,10,23,43.5,5,14,35.7,2,2,100,0,3,3,6,2,0,3,2,-14,42.6
Dru Smith,MIA,MIA @ PHI,11/23/2025,W,17,9,4,7,57.1,1,2,50.0,0,0,-,1,3,4,1,0,1,2,0,1,16.3
Simone Fontecchio,MIA,MIA @ PHI,11/23/2025,W,19,6,2,8,25.0,2,7,28.6,0,0,-,1,2,3,2,0,0,0,1,-2,12.6
Quentin Grimes,PHI,PHI vs. MIA,11/23/2025,L,35,15,6,14,42.9,2,7,28.6,1,1,100,0,0,0,3,0,1,2,5,-12,20.5
Hunter Sallis,PHI,PHI vs. MIA,11/23/2025,L,1,1,0,0,-,0,0,-,1,2,50.0,0,0,0,0,0,0,0,0,3,1.0
Johni Broome,PHI,PHI vs. MIA,11/23/2025,L,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2,1.2
Jahmir Young,MIA,MIA @ PHI,11/23/2025,W,1,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-2,2.0
Myron Gardner,MIA,MIA @ PHI,11/23/2025,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Andre Drummond,PHI,PHI vs. MIA,11/23/2025,L,38,14,6,12,50.0,1,2,50.0,1,2,50.0,9,15,24,1,0,2,2,1,-2,48.3
Trendon Watford,PHI,PHI vs. MIA,11/23/2025,L,26,19,7,12,58.3,1,2,50.0,4,5,80.0,2,7,9,7,1,1,1,3,5,45.3
Kel'el Ware,MIA,MIA @ PHI,11/23/2025,W,26,20,7,13,53.8,2,2,100,4,5,80.0,8,8,16,0,2,0,0,2,26,45.2
Keshad Johnson,MIA,MIA @ PHI,11/23/2025,W,19,4,2,5,40.0,0,1,0.0,0,0,-,1,0,1,0,0,1,1,1,-3,7.2
Moussa Diabaté,CHA,CHA @ ATL,11/23/2025,L,25,12,4,4,100,0,0,-,4,4,100,5,6,11,1,0,0,1,0,-13,25.7
Dean Wade,CLE,CLE vs. LAC,11/23/2025,W,23,5,2,6,33.3,1,5,20.0,0,0,-,1,4,5,3,3,0,1,3,3,23.5
Orlando Robinson,ORL,ORL @ BOS,11/23/2025,L,13,7,3,4,75.0,1,1,100,0,0,-,2,1,3,1,0,0,0,2,-7,12.1
Anfernee Simons,BOS,BOS vs. ORL,11/23/2025,W,22,23,8,11,72.7,4,7,57.1,3,3,100,0,5,5,2,0,0,0,3,7,32.0
Jamal Cain,ORL,ORL @ BOS,11/23/2025,L,16,2,1,6,16.7,0,4,0.0,0,0,-,2,1,3,0,1,1,1,2,9,10.6
Miles Bridges,CHA,CHA @ ATL,11/23/2025,L,35,21,8,21,38.1,1,9,11.1,4,4,100,0,5,5,5,1,1,2,3,-2,38.5
Kawhi Leonard,LAC,LAC @ CLE,11/23/2025,L,26,20,6,13,46.2,3,5,60.0,5,5,100,0,3,3,2,3,0,4,4,3,31.6
Noah Penda,ORL,ORL @ BOS,11/23/2025,L,23,13,5,6,83.3,2,2,100,1,1,100,4,4,8,4,0,1,0,2,12,31.6
John Collins,LAC,LAC @ CLE,11/23/2025,L,30,5,1,6,16.7,0,1,0.0,3,4,75.0,1,2,3,0,0,2,0,1,-7,14.6
Josh Minott,BOS,BOS vs. ORL,11/23/2025,W,20,16,7,8,87.5,2,3,66.7,0,0,-,0,7,7,1,0,1,0,1,15,28.9
Tyus Jones,ORL,ORL @ BOS,11/23/2025,L,25,3,1,6,16.7,1,4,25.0,0,0,-,0,1,1,6,0,0,0,1,8,13.2
KJ Simpson,CHA,CHA @ ATL,11/23/2025,L,12,5,2,4,50.0,1,1,100,0,0,-,0,2,2,2,1,0,1,0,0,12.4
Kris Dunn,LAC,LAC @ CLE,11/23/2025,L,24,9,3,5,60.0,1,1,100,2,2,100,2,2,4,2,1,0,1,2,4,18.8
Jaylen Brown,BOS,BOS vs. ORL,11/23/2025,W,37,35,14,26,53.8,2,6,33.3,5,7,71.4,1,3,4,8,1,0,1,3,12,53.8
Tristan da Silva,ORL,ORL @ BOS,11/23/2025,L,23,9,4,7,57.1,1,2,50.0,0,0,-,0,1,1,2,1,1,0,0,-17,19.2
Franz Wagner,ORL,ORL @ BOS,11/23/2025,L,28,15,5,10,50.0,0,1,0.0,5,8,62.5,2,6,8,5,0,0,2,1,-17,30.1
Darius Garland,CLE,CLE vs. LAC,11/23/2025,W,29,8,3,10,30.0,0,4,0.0,2,2,100,0,1,1,8,0,0,4,0,0,17.2
Yanic Konan Niederhäuser,LAC,LAC @ CLE,11/23/2025,L,4,0,0,1,0.0,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,3.6
Kobe Brown,LAC,LAC @ CLE,11/23/2025,L,4,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,1,0,0,1,0,0,3.5
Desmond Bane,ORL,ORL @ BOS,11/23/2025,L,29,18,6,13,46.2,1,2,50.0,5,6,83.3,3,1,4,5,0,0,1,2,-9,29.3
Zaccharie Risacher,ATL,ATL vs. CHA,11/23/2025,W,22,5,2,5,40.0,1,3,33.3,0,0,-,2,0,2,3,0,1,0,0,4,14.9
Liam McNeeley,CHA,CHA @ ATL,11/23/2025,L,15,6,2,6,33.3,2,6,33.3,0,0,-,0,2,2,0,0,0,1,3,-4,7.4
Jonathan Isaac,ORL,ORL @ BOS,11/23/2025,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,1,1,0,-9,3.2
Hugo González,BOS,BOS vs. ORL,11/23/2025,W,9,1,0,0,-,0,0,-,1,2,50.0,0,1,1,2,0,0,0,2,9,5.2
Jase Richardson,ORL,ORL @ BOS,11/23/2025,L,21,18,7,11,63.6,3,4,75.0,1,1,100,1,4,5,2,0,0,0,1,8,27.0
Ivica Zubac,LAC,LAC @ CLE,11/23/2025,L,33,33,15,22,68.2,0,0,-,3,3,100,7,11,18,4,0,0,2,3,6,58.6
Tre Mann,CHA,CHA @ ATL,11/23/2025,L,17,3,1,6,16.7,1,4,25.0,0,0,-,0,1,1,1,0,0,3,1,-14,2.7
James Harden,LAC,LAC @ CLE,11/23/2025,L,32,19,5,16,31.3,0,8,0.0,9,10,90.0,0,2,2,6,1,0,3,2,-15,30.4
Nae'Qwan Tomlin,CLE,CLE vs. LAC,11/23/2025,W,22,8,3,5,60.0,1,3,33.3,1,2,50.0,1,1,2,1,1,2,1,3,12,19.9
Neemias Queta,BOS,BOS vs. ORL,11/23/2025,W,6,6,3,3,100,0,0,-,0,0,-,1,1,2,0,0,0,0,2,-2,8.4
Asa Newell,ATL,ATL vs. CHA,11/23/2025,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,2,0,1.2
Baylor Scheierman,BOS,BOS vs. ORL,11/23/2025,W,10,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,0,1,0,1,-6,6.2
Cam Christie,LAC,LAC @ CLE,11/23/2025,L,4,3,1,2,50.0,0,0,-,1,2,50.0,0,0,0,1,0,0,0,0,0,4.5
Jahmyl Telfort,LAC,LAC @ CLE,11/23/2025,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,0,1.2
Payton Pritchard,BOS,BOS vs. ORL,11/23/2025,W,34,19,9,16,56.3,1,4,25.0,0,0,-,2,3,5,8,2,0,1,1,15,42.0
Thomas Bryant,CLE,CLE vs. LAC,11/23/2025,W,3,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,1,0,-2,3.2
Jalen Johnson,ATL,ATL vs. CHA,11/23/2025,W,40,28,11,22,50.0,2,4,50.0,4,5,80.0,1,7,8,11,1,0,0,0,3,57.1
Nickeil Alexander-Walker,ATL,ATL vs. CHA,11/23/2025,W,39,23,8,17,47.1,3,7,42.9,4,6,66.7,2,3,5,4,1,1,1,4,-7,40.0
Tyrese Proctor,CLE,CLE vs. LAC,11/23/2025,W,17,11,3,7,42.9,2,5,40.0,3,4,75.0,0,3,3,3,0,0,0,0,0,19.1
Jaylon Tyson,CLE,CLE vs. LAC,11/23/2025,W,23,7,3,6,50.0,1,3,33.3,0,0,-,1,3,4,0,0,0,0,4,7,11.8
Anthony Black,ORL,ORL @ BOS,11/23/2025,L,28,14,4,13,30.8,2,4,50.0,4,5,80.0,2,1,3,5,1,0,2,3,-23,26.1
Noah Clowney,BKN,BKN @ TOR,11/23/2025,L,37,22,7,15,46.7,1,7,14.3,7,7,100,0,1,1,1,2,2,5,5,-4,31.7
Michael Porter Jr.,BKN,BKN @ TOR,11/23/2025,L,33,25,9,18,50.0,4,9,44.4,3,3,100,1,5,6,4,1,1,1,3,-6,43.2
Sion James,CHA,CHA @ ATL,11/23/2025,L,32,7,3,7,42.9,1,4,25.0,0,0,-,1,5,6,3,0,0,1,2,16,17.7
Ochai Agbaji,TOR,TOR vs. BKN,11/23/2025,W,14,6,3,7,42.9,0,1,0.0,0,0,-,1,1,2,2,0,0,0,3,-3,11.4
Dyson Daniels,ATL,ATL vs. CHA,11/23/2025,W,36,22,10,17,58.8,1,4,25.0,1,1,100,4,5,9,6,2,0,2,4,5,45.8
Sandro Mamukelashvili,TOR,TOR vs. BKN,11/23/2025,W,27,12,5,9,55.6,2,4,50.0,0,0,-,1,3,4,2,1,0,1,4,11,21.8
Chris Paul,LAC,LAC @ CLE,11/23/2025,L,17,2,1,1,100,0,0,-,0,0,-,0,1,1,5,0,0,2,1,-10,8.7
Ja'Kobe Walter,TOR,TOR vs. BKN,11/23/2025,W,19,16,6,7,85.7,4,5,80.0,0,0,-,0,1,1,0,1,0,1,0,-4,19.2
Egor Dëmin,BKN,BKN @ TOR,11/23/2025,L,28,5,2,10,20.0,1,6,16.7,0,0,-,0,3,3,4,0,0,2,1,-2,12.6
Onyeka Okongwu,ATL,ATL vs. CHA,11/23/2025,W,35,20,8,18,44.4,2,7,28.6,2,2,100,0,7,7,3,0,0,1,3,1,31.9
Terance Mann,BKN,BKN @ TOR,11/23/2025,L,21,3,1,4,25.0,0,1,0.0,1,2,50.0,2,0,2,5,0,0,2,2,-9,10.9
Jamal Shead,TOR,TOR vs. BKN,11/23/2025,W,24,11,1,4,25.0,0,2,0.0,9,11,81.8,0,1,1,9,1,0,1,2,14,27.7
Mouhamed Gueye,ATL,ATL vs. CHA,11/23/2025,W,17,4,2,5,40.0,0,1,0.0,0,0,-,0,1,1,1,0,2,0,1,2,12.7
Vít Krejčí,ATL,ATL vs. CHA,11/23/2025,W,32,1,0,1,0.0,0,1,0.0,1,2,50.0,1,2,3,4,0,0,1,3,3,9.6
Larry Nance Jr.,CLE,CLE vs. LAC,11/23/2025,W,13,3,1,3,33.3,1,2,50.0,0,0,-,0,1,1,0,0,0,0,2,-4,4.2
Kobe Sanders,LAC,LAC @ CLE,11/23/2025,L,28,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,1,1,0,1,2,-16,9.7
Ziaire Williams,BKN,BKN @ TOR,11/23/2025,L,28,5,1,3,33.3,1,2,50.0,2,2,100,2,2,4,0,0,2,1,0,1,14.8
Tyrese Martin,BKN,BKN @ TOR,11/23/2025,L,25,26,7,14,50.0,5,9,55.6,7,7,100,1,5,6,3,2,0,4,1,-8,39.7
Keaton Wallace,ATL,ATL vs. CHA,11/23/2025,W,16,10,4,6,66.7,2,4,50.0,0,0,-,0,1,1,0,2,1,2,4,4,18.2
Day'Ron Sharpe,BKN,BKN @ TOR,11/23/2025,L,17,5,2,2,100,0,0,-,1,4,25.0,1,5,6,1,0,0,2,2,-4,11.7
Nicolas Batum,LAC,LAC @ CLE,11/23/2025,L,25,6,2,5,40.0,2,5,40.0,0,0,-,1,2,3,1,0,0,1,1,-16,10.1
Mason Plumlee,CHA,CHA @ ATL,11/23/2025,L,23,6,2,2,100,0,0,-,2,3,66.7,1,7,8,6,1,0,1,1,9,26.6
De'Andre Hunter,CLE,CLE vs. LAC,11/23/2025,W,29,17,5,11,45.5,4,7,57.1,3,4,75.0,0,4,4,4,1,0,2,4,4,28.8
Derrick White,BOS,BOS vs. ORL,11/23/2025,W,36,16,5,11,45.5,2,4,50.0,4,4,100,2,5,7,5,2,3,1,2,-2,45.9
Gradey Dick,TOR,TOR vs. BKN,11/23/2025,W,20,12,3,6,50.0,2,4,50.0,4,4,100,0,1,1,3,2,0,0,2,7,23.7
Jordan Walsh,BOS,BOS vs. ORL,11/23/2025,W,24,5,1,3,33.3,0,1,0.0,3,4,75.0,1,2,3,2,0,1,2,2,-6,12.6
Evan Mobley,CLE,CLE vs. LAC,11/23/2025,W,34,18,9,12,75.0,0,2,0.0,0,4,0.0,3,7,10,2,2,2,1,3,26,44.0
Drake Powell,BKN,BKN @ TOR,11/23/2025,L,14,6,1,2,50.0,0,0,-,4,4,100,0,1,1,2,0,0,1,3,-10,9.2
Jalen Wilson,BKN,BKN @ TOR,11/23/2025,L,6,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,2.0
Luke Travers,CLE,CLE vs. LAC,11/23/2025,W,15,3,1,3,33.3,1,3,33.3,0,0,-,0,2,2,1,2,0,0,1,3,12.9
Kon Knueppel,CHA,CHA @ ATL,11/23/2025,L,34,28,9,17,52.9,7,11,63.6,3,3,100,1,5,6,3,0,1,2,1,4,40.7
Nic Claxton,BKN,BKN @ TOR,11/23/2025,L,31,10,4,6,66.7,0,0,-,2,2,100,3,8,11,3,0,2,1,2,-6,32.7
Immanuel Quickley,TOR,TOR vs. BKN,11/23/2025,W,30,13,4,11,36.4,3,6,50.0,2,2,100,0,7,7,4,1,0,1,5,3,29.4
Brook Lopez,LAC,LAC @ CLE,11/23/2025,L,11,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,-24,1.2
Brandon Ingram,TOR,TOR vs. BKN,11/23/2025,W,36,14,6,18,33.3,2,5,40.0,0,0,-,1,5,6,4,2,0,3,1,13,30.2
Donovan Mitchell,CLE,CLE vs. LAC,11/23/2025,W,33,37,14,22,63.6,5,9,55.6,4,4,100,2,6,8,6,1,0,2,2,26,56.6
Collin Murray-Boyles,TOR,TOR vs. BKN,11/23/2025,W,17,2,1,1,100,0,0,-,0,0,-,0,1,1,1,0,0,0,1,4,4.7
Drew Peterson,CHA,CHA @ ATL,11/23/2025,L,10,0,0,3,0.0,0,3,0.0,0,0,-,1,1,2,1,1,0,0,1,-8,6.9
Scottie Barnes,TOR,TOR vs. BKN,11/23/2025,W,34,17,6,13,46.2,0,0,-,5,6,83.3,3,4,7,4,2,4,0,3,2,49.4
RJ Barrett,TOR,TOR vs. BKN,11/23/2025,W,20,16,4,8,50.0,2,3,66.7,6,6,100,0,2,2,1,2,0,2,1,3,23.9
Chris Youngblood,OKC,OKC vs. POR,11/23/2025,W,8,0,0,2,0.0,0,2,0.0,0,0,-,0,2,2,2,0,0,1,0,0,4.4
Caleb Love,POR,POR @ OKC,11/23/2025,L,26,8,3,13,23.1,1,8,12.5,1,2,50.0,1,1,2,2,0,0,2,1,-27,11.4
Jett Howard,ORL,ORL @ BOS,11/23/2025,L,29,30,11,23,47.8,5,13,38.5,3,3,100,2,5,7,3,0,0,0,3,0,42.9
Toumani Camara,POR,POR @ OKC,11/23/2025,L,27,4,2,6,33.3,0,3,0.0,0,0,-,4,2,6,3,2,1,1,3,-11,23.7
Jaylin Williams,OKC,OKC vs. POR,11/23/2025,W,14,5,1,3,33.3,1,2,50.0,2,4,50.0,0,2,2,4,0,0,1,4,8,12.4
Shai Gilgeous-Alexander,OKC,OKC vs. POR,11/23/2025,W,30,37,13,18,72.2,2,3,66.7,9,9,100,2,3,5,7,2,0,1,3,27,58.5
Cason Wallace,OKC,OKC vs. POR,11/23/2025,W,27,7,3,9,33.3,1,5,20.0,0,0,-,2,0,2,1,2,0,1,1,11,15.9
Brooks Barnhizer,OKC,OKC vs. POR,11/23/2025,W,8,5,2,3,66.7,1,1,100,0,0,-,1,2,3,1,0,0,1,0,-2,9.1
Duop Reath,POR,POR @ OKC,11/23/2025,L,19,6,3,7,42.9,0,4,0.0,0,0,-,1,2,3,0,2,0,0,1,-18,15.6
Deni Avdija,POR,POR @ OKC,11/23/2025,L,24,11,4,16,25.0,1,8,12.5,2,3,66.7,1,4,5,1,1,0,2,2,-4,19.5
Chris Boucher,BOS,BOS vs. ORL,11/23/2025,W,14,1,0,0,-,0,0,-,1,2,50.0,0,1,1,1,1,2,0,1,9,12.7
Sidy Cissoko,POR,POR @ OKC,11/23/2025,L,27,7,3,7,42.9,1,3,33.3,0,1,0.0,1,1,2,3,0,0,1,1,-10,12.9
Branden Carlson,OKC,OKC vs. POR,11/23/2025,W,9,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,2,0,1,0,0,-2,15.2
Donovan Clingan,POR,POR @ OKC,11/23/2025,L,20,8,2,5,40.0,2,4,50.0,2,4,50.0,2,6,8,2,0,2,2,5,2,24.6
Kris Murray,POR,POR @ OKC,11/23/2025,L,27,9,3,9,33.3,0,3,0.0,3,4,75.0,5,2,7,0,1,0,1,2,-23,19.4
Isaiah Joe,OKC,OKC vs. POR,11/23/2025,W,24,10,3,7,42.9,2,6,33.3,2,2,100,0,2,2,1,1,1,2,1,15,17.9
Chet Holmgren,OKC,OKC vs. POR,11/23/2025,W,25,5,2,8,25.0,0,3,0.0,1,2,50.0,2,7,9,4,0,3,3,2,5,27.8
Alex Caruso,OKC,OKC vs. POR,11/23/2025,W,14,5,2,3,66.7,1,1,100,0,0,-,1,1,2,3,1,0,0,3,25,14.9
Rayan Rupert,POR,POR @ OKC,11/23/2025,L,16,10,4,7,57.1,2,2,100,0,0,-,0,5,5,0,1,0,2,1,-5,17.0
Yang Hansen,POR,POR @ OKC,11/23/2025,L,18,8,3,11,27.3,1,6,16.7,1,1,100,0,4,4,3,0,1,0,1,-6,20.3
Ousmane Dieng,OKC,OKC vs. POR,11/23/2025,W,15,8,3,5,60.0,2,3,66.7,0,0,-,0,2,2,1,0,0,0,2,-1,11.9
Javonte Cooke,POR,POR @ OKC,11/23/2025,L,13,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,2,0,0,1,0,-4,5.0
Devin Vassell,SAS,SAS @ PHX,11/23/2025,L,33,17,5,13,38.5,3,7,42.9,4,4,100,0,4,4,2,1,2,3,3,-10,30.8
Keldon Johnson,SAS,SAS @ PHX,11/23/2025,L,25,14,6,8,75.0,2,3,66.7,0,0,-,2,4,6,2,0,0,3,2,-6,21.2
Svi Mykhailiuk,UTA,UTA vs. LAL,11/23/2025,L,28,12,5,9,55.6,2,5,40.0,0,0,-,0,2,2,5,0,0,1,1,9,20.9
Collin Gillespie,PHX,PHX vs. SAS,11/23/2025,W,30,15,6,13,46.2,3,7,42.9,0,0,-,1,2,3,6,1,0,0,3,-1,30.6
Harrison Barnes,SAS,SAS @ PHX,11/23/2025,L,35,11,5,11,45.5,0,2,0.0,1,2,50.0,2,1,3,3,1,0,1,1,1,21.1
Rui Hachimura,LAL,LAL @ UTA,11/23/2025,W,29,13,4,8,50.0,2,4,50.0,3,4,75.0,0,6,6,0,0,1,0,1,2,23.2
Julian Champagnie,SAS,SAS @ PHX,11/23/2025,L,30,10,3,14,21.4,2,9,22.2,2,3,66.7,3,9,12,1,1,0,1,0,3,27.9
Maxi Kleber,LAL,LAL @ UTA,11/23/2025,W,14,2,1,2,50.0,0,1,0.0,0,0,-,2,1,3,0,0,1,1,4,1,7.6
Jaxson Hayes,LAL,LAL @ UTA,11/23/2025,W,18,5,2,2,100,0,0,-,1,1,100,1,3,4,1,0,0,1,3,2,10.3
Mark Williams,PHX,PHX vs. SAS,11/23/2025,W,29,14,6,8,75.0,0,0,-,2,3,66.7,4,7,11,2,1,1,0,3,2,36.2
Oso Ighodaro,PHX,PHX vs. SAS,11/23/2025,W,18,2,1,2,50.0,0,0,-,0,0,-,1,2,3,5,0,2,1,2,7,18.1
Devin Booker,PHX,PHX vs. SAS,11/23/2025,W,38,24,7,18,38.9,2,6,33.3,8,11,72.7,0,5,5,7,1,2,2,2,6,47.5
Luka Dončić,LAL,LAL @ UTA,11/23/2025,W,40,33,10,24,41.7,3,12,25.0,10,12,83.3,0,11,11,8,3,0,6,2,5,61.2
Isaiah Collier,UTA,UTA vs. LAL,11/23/2025,L,23,10,3,8,37.5,0,2,0.0,4,5,80.0,0,1,1,3,1,0,2,1,-8,16.7
Kyle Filipowski,UTA,UTA vs. LAL,11/23/2025,L,20,4,1,3,33.3,0,0,-,2,2,100,1,2,3,2,0,1,2,4,-27,11.6
Royce O'Neale,PHX,PHX vs. SAS,11/23/2025,W,34,9,3,8,37.5,3,5,60.0,0,0,-,0,5,5,1,1,0,1,5,13,18.5
Ace Bailey,UTA,UTA vs. LAL,11/23/2025,L,32,10,4,10,40.0,2,7,28.6,0,0,-,1,4,5,3,1,0,0,3,14,23.5
Lauri Markkanen,UTA,UTA vs. LAL,11/23/2025,L,36,20,8,19,42.1,2,7,28.6,2,2,100,1,6,7,2,1,1,1,2,19,36.4
Jusuf Nurkić,UTA,UTA vs. LAL,11/23/2025,L,31,11,5,6,83.3,1,1,100,0,3,0.0,3,7,10,2,2,0,2,2,14,30.0
Keyonte George,UTA,UTA vs. LAL,11/23/2025,L,39,27,10,23,43.5,4,10,40.0,3,4,75.0,0,5,5,8,1,0,3,3,-4,45.0
LeBron James,LAL,LAL @ UTA,11/23/2025,W,34,17,8,18,44.4,0,4,0.0,1,2,50.0,0,6,6,8,1,0,2,2,-14,37.2
Austin Reaves,LAL,LAL @ UTA,11/23/2025,W,40,22,7,17,41.2,1,8,12.5,7,8,87.5,1,9,10,4,1,0,3,2,-1,40.0
Cody Williams,UTA,UTA vs. LAL,11/23/2025,L,3,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-9,0.0
Kevin Love,UTA,UTA vs. LAL,11/23/2025,L,13,4,2,5,40.0,0,2,0.0,0,0,-,3,6,9,2,1,0,2,2,-7,18.8
Brice Sensabaugh,UTA,UTA vs. LAL,11/23/2025,L,15,5,1,8,12.5,1,4,25.0,2,2,100,1,2,3,0,0,0,1,2,-11,7.6
Gabe Vincent,LAL,LAL @ UTA,11/23/2025,W,20,3,1,1,100,1,1,100,0,0,-,0,1,1,0,1,0,1,2,0,6.2
Marcus Smart,LAL,LAL @ UTA,11/23/2025,W,17,6,2,6,33.3,2,6,33.3,0,0,-,0,0,0,0,0,1,0,1,18,9.0
Nick Richards,PHX,PHX vs. SAS,11/23/2025,W,5,2,1,4,25.0,0,0,-,0,0,-,0,2,2,0,0,0,0,1,-4,4.4
Isaiah Livers,PHX,PHX vs. SAS,11/23/2025,W,19,5,2,5,40.0,1,3,33.3,0,0,-,0,1,1,1,3,1,0,2,3,19.7
Jake LaRavia,LAL,LAL @ UTA,11/23/2025,W,13,5,2,6,33.3,1,2,50.0,0,0,-,0,1,1,2,0,1,0,0,1,12.2
Deandre Ayton,LAL,LAL @ UTA,11/23/2025,W,13,2,1,2,50.0,0,0,-,0,0,-,1,2,3,0,1,0,0,1,-4,8.6
Taylor Hendricks,UTA,UTA vs. LAL,11/23/2025,L,1,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,0,3.0
Carter Bryant,SAS,SAS @ PHX,11/23/2025,L,8,5,2,5,40.0,1,3,33.3,0,0,-,0,3,3,0,0,0,0,0,1,8.6
David Jones Garcia,SAS,SAS @ PHX,11/23/2025,L,13,0,0,4,0.0,0,1,0.0,0,0,-,1,1,2,1,1,0,2,0,-10,4.9
Ajay Mitchell,OKC,OKC vs. POR,11/23/2025,W,24,20,8,8,100,2,2,100,2,4,50.0,0,1,1,4,2,0,2,1,24,31.2
Dillon Brooks,PHX,PHX vs. SAS,11/23/2025,W,35,25,10,24,41.7,4,12,33.3,1,2,50.0,1,2,3,2,1,0,2,2,8,32.6
Jordan Goodwin,PHX,PHX vs. SAS,11/23/2025,W,33,15,7,15,46.7,1,5,20.0,0,0,-,4,6,10,3,2,0,0,3,11,37.5
Jeremy Sochan,SAS,SAS @ PHX,11/23/2025,L,21,7,3,5,60.0,0,1,0.0,1,2,50.0,3,2,5,1,0,0,1,3,-17,13.5
Kelly Olynyk,SAS,SAS @ PHX,11/23/2025,L,14,4,0,3,0.0,0,2,0.0,4,5,80.0,2,2,4,1,0,0,4,2,-12,6.3
De'Aaron Fox,SAS,SAS @ PHX,11/23/2025,L,33,26,5,11,45.5,2,6,33.3,14,16,87.5,0,5,5,3,0,0,2,4,-2,34.5
Luke Kornet,SAS,SAS @ PHX,11/23/2025,L,28,8,3,3,100,0,0,-,2,2,100,1,5,6,3,0,2,2,2,7,23.7
Luguentz Dort,OKC,OKC vs. POR,11/23/2025,W,21,5,2,6,33.3,1,5,20.0,0,0,-,2,2,4,0,1,0,0,4,7,12.8
Isaiah Hartenstein,OKC,OKC vs. POR,11/23/2025,W,22,7,3,9,33.3,0,0,-,1,2,50.0,2,12,14,3,0,3,2,2,18,35.3
