pos,tsc,team_name,gp,pts,reb,ast,3pm,stl,blk,to,fd pts
PF,BOS,Boston Celtics,33,22.38,9.44,3.95,2.55,0.75,1.09,2.52,42.63
PF,CHA,Charlotte Hornets,33,26.04,8.64,5.66,2.73,1.41,0.98,2.24,49.83
PF,CHI,Chicago Bulls,33,27.70,10.50,5.07,2.11,1.51,1.37,2.36,54.19
PF,CLE,Cleveland Cavaliers,35,22.91,10.34,5.10,2.05,1.13,1.10,3.18,46.48
PF,DAL,Dallas Mavericks,35,22.04,9.42,3.51,2.17,1.55,1.05,2.24,44.17
PF,DEN,Denver Nuggets,33,23.67,9.63,5.96,2.18,1.63,0.85,2.55,49.06
PF,DET,Detroit Pistons,34,23.28,9.80,4.21,2.86,1.71,1.41,3.16,47.56
PF,GSW,Golden State Warriors,34,20.65,10.86,4.22,2.17,1.69,0.83,2.83,44.74
PF,HOU,Houston Rockets,31,21.15,7.71,3.42,2.38,1.74,0.88,2.22,41.17
PF,IND,Indiana Pacers,34,24.61,10.40,3.67,2.18,1.38,1.38,2.69,48.19
PF,LAC,Los Angeles Clippers,33,21.47,7.85,4.03,2.20,1.83,0.91,1.94,43.22
PF,LAL,Los Angeles Lakers,31,23.76,9.45,4.22,3.40,1.68,0.85,2.16,46.86
PF,MEM,Memphis Grizzlies,33,22.85,9.59,3.63,2.67,1.80,1.41,2.31,47.12
PF,MIA,Miami Heat,34,23.91,10.77,4.33,2.49,1.52,1.07,3.01,48.09
PF,MIL,Milwaukee Bucks,34,22.29,10.19,4.51,2.67,1.68,1.02,2.67,46.71
PF,MIN,Minnesota Timberwolves,34,21.83,10.42,3.24,2.34,1.47,0.98,2.37,44.17
PF,NOP,New Orleans Pelicans,35,20.77,8.62,3.77,3.15,1.34,1.23,2.68,41.80
PF,NYK,New York Knicks,33,22.62,8.70,4.40,2.38,1.22,0.78,2.66,43.00
PF,OKC,Oklahoma City Thunder,34,21.21,9.29,4.59,2.88,1.60,0.81,3.38,43.09
PF,ORL,Orlando Magic,34,20.33,10.15,3.27,2.37,1.74,1.11,2.26,43.71
PF,PHI,Philadelphia 76ers,32,22.06,11.55,3.85,2.25,1.20,1.56,2.96,47.02
PF,PHO,Phoenix Suns,33,19.69,9.28,4.05,2.06,1.58,1.24,2.70,42.66
PF,POR,Portland Trail Blazers,34,23.20,9.75,4.59,2.40,1.79,1.36,2.79,48.45
PF,SAC,Sacramento Kings,34,25.53,9.48,4.63,2.87,1.76,1.03,2.62,49.60
PF,SAS,San Antonio Spurs,33,21.60,8.55,4.56,2.22,1.61,0.89,2.15,44.05
